Academia Economic Papers 	Academia Econ. Pap.
furnished 	furn.
guarantee 	guar.
General Electric 	GE
hard drive 	HD
Hill Air Force Base 	HAFB
highway 	hwy.
horsepower 	HP
hour 	hr.
Human Resource(s) 	HR
Inboard/Outboard 	I/O
Incorporated 	Inc.
information 	info.
Inspection/Emissions
test 	I/M
 Internal Revenue
Service 	IRS
international 	int'l
Limited 	Ltd.
maintenance 	maint.
Minority/Female/         
Handicap/Vet 	M/F/H/V
Management 	Mgmt.
Manufacturing 	Mfg.
Marketing 	Mktg.
maximum 	max.
message 	msg.
miles,mileage 	mi.
miles per gallon 	mpg
minimum 	min.
miscellanous 	misc.
 month  	 mo.
mountain 	mtn.
National 	Nat'l
number 	no., #
Oldsmobile 	Olds.
On Approved Credit 	OAC
Ounce 	oz.
Overdrive 	O/D
package 	pkg.
Part time 	P/T
pickup 	P/U
plus 	+
Post Office 	P.O.
power brakes 	pb
 power locks  	 pl
power steering 	ps
power windows 	pw
Public Relations 	PR
Railroad 	R.R.
recreational vehicle 	RV
repossession 	repo.
Revolutions Per Minute 	RPM
Self Addressed
Stamped Envelope 	SASE
Shipping & Handling 	S/H
square foot 	sq. ft.
thousands 	k
transmission 	trans.
utilities 	util's.
Aktiebolag

(Swedish, German, etc.)    
	

AB

Aktiengesellschaft    
	

AG

 

****  
	

BV

Compagnie (French)
	

Cie

Company
	

Co.

Corporation
	

Corp.

eingetragener Verein
	

eV

Gesellschaft mit beschränkter Haftung
	

GmbH

Incorporated
	

Inc.

(Japanese)  
	

KG

(Japanese)
	

KK

Limited
	

Ltd.

(Finnish)
	

oy

Public Limited Company
	

plc

Proprietary (Australian)
	

Pty

Sociedad Anonyma (French, Spanish)
	

SA

 

Sociedad Anonyma de CV (Mexican)
	

SA de CV

Societa per Azioni
	

SpA

University (all languages)
	

Univ. 
Jan.
Feb.
Mar.
Apr.
May.
Jun.
Jul.
Aug.
Sep.
Oct.
Nov.
Dec.
Ph.D.
PhD.
Dr.
Prof.
Ms.
Mr.
Mrs.
Sir.
Msc.
Bsc.
Bs.
BA.
B.A.
MA.
M.A.
LLD.
L.L.D.
BS.
B.S.
MA.
M.A.
MAT.
M.A.T.
MBA.
M.B.A.
MEng.
M.Eng.
MM.
M.M.
MPA.
M.P.A.
MS.
M.S.
MSEd.
M.S.Ed.
MST.
M.S.T.
EdD.
Ed.D.
Inc.
Corp.
LLLP.
L.L.L.P.
P.C.
PC.
A.A.C.
A.
B.
C.
D.
E.
F.
G.
I.
J.
K.
H.
M.
N.
P.
Q.
O.
S.
R.
T.
X.
Y.
Z.
Acc. Chem. Res. 	Accounts of Chemical Research
ACH - Models Chem. 	ACH - Models in Chemistry
ACI Mater. J. 	ACI Materials Journal
ACS Symp. Ser. 	ACS Symposium Series
Acta Biochim. Pol. 	Acta Biochimica Polonica
Acta Biotechnol. 	Acta Biotechnologica
Acta Chem. Scand. 	Acta Chemica Scandinavica
Acta Chim. Sinica 	Acta Chimica Sinica
Acta Cienc. Indica, Chem. 	Acta Cienceia Indica Chemistry
Acta Cienc. Indica, Phys. 	Acta Ciencia Indica Phyics
Acta Crystallogr., Sect. A: Found. Crystallogr. 	Acta Crystallographica Section A: Foundations
Acta Crystallogr., Sect. B: Struct. Sci 	Acta Crystallographica Section B: Structural Science
Acta Crystallogr., Sect. C: Cryst. Struct. Commun. 	Acta Crystallographica Section C: Crystal Structure Communications
Acta Crystallogr., Sect D: Biol. Crystallogr. 	Acta Crystallographica Section D: Biological Crystallography
Acta Crystallogr. Sect. E: Struct. Rep. Online 	Acta Crystallographica Section E Structure Reports Online
Acta Hydroch. Hydrob. 	Acta Hydrochimica et Hydrobiologica
Acta Mater. 	Acta Materialia
Acta Metall. 	Acta Metallurgica
Acta Phys. Pol., A 	Acta Physica Polonica A
Acta Phys. Pol., B 	Acta Physica Polonica B
Acta Polym. 	Acta Polymerica
Acta Polytech. Scand., Chem. Technol. Ser 	Acta Polytechnica Scandinavica - Chemical Technology Series
Adhes. Age 	Adhesives Age
Adsorpt. Sci. Technol. 	Adsorption Science and Technology
Adv. Appl. Microbiol. 	Advances in Applied Microbiology
Adv. At. Mol. Opt. Phy. 	Advances in Atomic Molecular and Optical Physics
Adv. Biochem. Eng./Biotechnol. 	Advances in Biochemical Engineering / Biotechnology
Adv. Carbohydr. Chem. Biochem. 	Advances in Carbohydrate Chemistry and Biochemistry
Adv. Chem. Phys. 	Advances in Chemical Physics
Adv. Chem. Ser. 	Advances in Chemistry Series
Adv. Chromatogr. 	Advances in Chromatography
Adv. Colloid Interface Sci. 	Advances in Colloid and Interface Science
Adv. Compos. Mater 	Advanced Composite Materials
Adv. Cryog. Eng. 	Advances in Cryogenic Engineering
Adv. Eng. Mater. 	Advanced Engineering Materials
Adv. Enzyme Regul. 	Advances in Enzyme Regulation
Adv. Enzymol. Relat. Areas Mol. Biol. 	Advances in Enzymology and Related Areas of Molecular Biology
Adv. Filtr. Sep. Technol. 	Advances in Filtration and Separation Technology
Adv. Funct. Mater. 	Advanced Functional Materials
Adv. Heterocycl. Chem. 	Advances in Heterocyclic Chemistry
Adv. Inorg. Chem. 	Advances in Inorganic Chemistry
Adv. Mass Spectrom. 	Advances in Mass Spectrometry
Adv. Synth. Catal. 	Advanced Synthesis and Catalysis
Adv. Mater. 	Advanced Materials
Adv. Mater. Opt. Electron. 	Advanced Materials for Optics and Electronics
Adv. Mater. Processes 	Advanced Materials and Processes
Adv. Mater. Res. 	Advances in Materials Research
Adv. Organomet. Chem. 	Advances in Organometallic Chemistry
Adv. Phys. Org. Chem. 	Advances in Physical Organic Chemistry
Adv. Polym. Sci. 	Advances in Polymer Science
Adv. Polym. Tech. 	Advances in Polymer Technology
Adv. Powder Technol. 	Advanced Powder Technology
Adv. Powder. Metall. Part. Mater. 	Advances in Powder Metallurgy and Particulate Materials
Adv. Protein Chem. 	Advances in Protein Chemistry
Adv. Quantum Chem. 	Advances in Quantum Chemistry
Adv. Second Messenger Phosphoprotein Res. 	Advances in Second Messenger and Phosphoprotein Research
Adv. Space Res. 	Advances in Space Research
Adv. X-Ray Anal. 	Advances in X-Ray Analysis
Adverse Drug React. Toxicol. Rev. 	Adverse Drug Reactions and Toxicological Reviews
Aerosol Sci. Technol. 	Aerosol Science and Technology
AlChE J. 	AIChE Journal
AlChE Symp. Ser. 	AIChE Symposium Series
Am. Ceram. Soc. Bull. 	American Ceramic Society Bulletin
Am. Ind. Hyg. Assoc. J. 	American Industrial Hygiene Association Journal
Am. J. Respir. Cell Mol. Biol. 	American Journal of Respiratory Cell and Molecular Biology
Am. Lab. 	American Laboratory
Am. Mineral. 	American Mineralogist
Ammonia Plant Saf. Relat. Facil 	Ammonia Plant Safety and Related Facilities
An. Asoc. Quim. Argent. 	Anales de la Asociacion Quimica Argentina
An. Quim. 	Anales de Quimica
Anal. Biochem. 	Analytical Biochemistry
Anal. Chem. 	Analytical Chemistry
Anal. Chim. 	Annali di Chimica
Anal. Chim. Acta 	Analytica Chimica Acta
Anal. Commun. 	Analytical Communications
Anal. Lett. 	Analytical Letters
Anal. Sci. 	Analytical Sciences
Angew. Chem. Int. Ed. 	Angewandte Chemie International Edition
Angew. Makromol. Chem. 	Angewandte Makromolekulare Chemie
Ann. Chim. (Rome) 	Annali di Chimica
Ann. Chim. - Sci. Mat. 	Annales de Chimie - Science des Materiaux
Ann. Clin. Biochem. 	Annals of Clinical Biochemistry
Ann. N.Y. Acad. Sci. 	Annals of the New York Academy of Sciences
Annu. Rep. Med. Chem. 	Annual Reports in Medicinal Chemistry
Annu. Rep. Prog. Chem. Sect. A: Inorg. Chem. 	Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry
Annu. Rep. Prog. Chem. Sect. B: Org. Chem. 	Annual Reports on the Progress of Chemistry, Section B: Organic Chemistry
Annu. Rep. Prog. Chem. Sect. C: Phys. Chem. 	Annual Reports on the Progress of Chemistry, Section C: Physical Chemistry
Annu. Rev. Biochem 	Annual Review of Biochemistry
Annu. Rev. Biophys. Biomol. Struct. 	Annual Review of Biophysics and Biomolecular Structure
Annu. Rev. Cell Dev. Biol. 	Annual Review of Cell and Developmental Biology
Annu. Rev. Energy Env. 	Annual Review of Energy and the Environment
Annu. Rev. Mater. Sci. 	Annual Review of Materials Science
Annu. Rev. Pharmacool. Toxicol. 	Annual Review of Pharmacology and Toxicology
Annu. Rev. Phys. Chem. 	Annual Review of Physical Chemistry
Anti-Cancer Drug Des. 	Anti-Cancer Drug Design
Anticancer Res. 	Anticancer Research
Antimicrob. Agents Chemother. 	Antimicrobial Agents and Chemotherapy
Antisense Nucleic Acid Drug Dev. 	Antisense and Nucleic Acid Drug Development
Antiviral Chem. Chemother. 	Antiviral Chemistry and Chemotherapy
Appita J. 	Appita Journal
Appl. Biochem. Biotechnol. 	Applied Biochemistry and Biotechnology
Appl. Catal., A 	Applied Catalysis A
Appl. Catal., B 	Applied Catalysis B
Appl. Clay Sci. 	Applied Clay Science
Appl. Compos. Mater. 	Applied Composite Materials
Appl. Environ. Microbiol. 	Applied and Environment Microbiology
Appl. Geochem. 	Applied Geochemistry
Appl. Magn. Reson. 	Applied Magnetic Resonance
Appl. Microbiol. Biotechnol. 	Applied Microbiology and Biotechnology
Appl. Opt. 	Applied Optics
Appl. Organomet. Chem. 	Applied Organometallic Chemistry
Appl. Phys. A 	Applied Physics A
Appl. Phys. B 	Applied Physics B
Appl. Phys. Lett. 	Applied Physics Letters
Appl. Radiat. Isot. 	Applied Radiation and Isotopes
Appl. Sci. Res. 	Applied Scientific Research
Appl. Spectrosc. 	Applied Spectroscopy
Appl. Supercond. 	Applied Superconductivity
Appl. Surf. Sci. 	Applied Surface Science
Appl. Therm. Eng. 	Applied Thermal Engineering
Aquat. Toxicol. 	Aquatic Toxicology
Arch. Biochem. Biophys. 	Archives of Biochemistry and Biophysics
Arch. Environ. Contam. Toxicol. 	Archives of Environment Contamination and Toxicology
Arch. Environ. Health 	Archives of Environment Health
Arch. Insect Biochem. Physiol. 	Archives of Insect Biochemistry and Physiology
Arch. Microbiol. 	Archives of Microbiology
Arch. Pharm. 	Archiv der Pharmazie
Arch. Pharmacal Res. 	Archives of Pharmacal Research
Arch. Physiol. Biochem. 	Archives of Physiology and Biochemistry
Arch. Toxicol. 	Archives of Toxicology
Arch. Virol 	Archives of Virology
Artif. Cells, Blood Substitues, Immobilization Biotechnol. 	Artificial Cells Blood Substitutes and Immobilization Biotechnology
Arzneim.-Forsch. 	Arzneimittel-Forschung/Drug Research
Asian J. Chem. 	Asian Journal of Chemistry
Asian J. Spectro. 	Asian Journal of Spectroscopy
ASTM Spec. Tech. Publ. 	ASTM Specical Technical Publication
Astron. Astrophys. 	Astronomy and Astrophysics
Astron. J. 	Astronomy Journal
Astrophys J. 	Astrophysics Journal
At. Data Nucl. Data Tables 	Atomic Data and Nuclear Data Tables
At. Energ. 	Atomic Energy
At. Spectrosc. 	Atomic Spectroscopy
Atmos. Environ. 	Atmospheric Environment
Atomization Sprays 	Atomization and Sprays
Aust. J. Chem. 	Australian Journal of Chemistry
 	 
B	Back to Top
Behav. Pharmacol. 	Behavioural Pharmacology
Ber. 	Chemische Berichte
Ber. Bunsen-Ges. Phys. Chem 	Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics
Biocatal. Biotransform. 	Biocatalysis and Biotransformation
Biochem. Arch. 	Biochemical Archives
Biochem. Biophys. Res. Commun. 	Biochemical and Biophysical Research Communications
Biochem. Cell Biol. 	Biochemistry and Cell Biology-Biochimie et Biologie Cellulaire
Biochem. Eng. J. 	Biochemical Engineering Journal
Biochem. Genet. 	Biochemical Genetics
Biochem. J 	Biochemical Journal
Biochem. Med. Metab. Biol. 	Biochemical Medicine and Metabolic Biology
Biochem. Mol. Biol. Int. 	Biochemistry and Molecular Biology International
Biochem. Mol. Med. 	Biochemical and Molecular Medicine
Biochem. Pharmacol. 	Biochemical Pharmacology
Biochem. Soc. Symp. 	Biochemical Society Symposium
Biochem. Soc. Trans. 	Biochemical Society Transactions
Biochem. Syst. Ecol. 	Biochemical Systematics and Ecology
Biochim. Biophys. Acta 	Biochimica et Biophysica Acta
Bioconjugate Chem. 	Bioconjugate Chemistry
Bioelectrochem. Bioenerg. 	Bioelectrochemistry and Bioenergetics
Biog. Amines 	Biogenic Amines
Biol. Chem. 	Biological Chemistry
Biol. Chem. Hoppe-Seyler 	Biological Chemistry Hoppe-Seyler
Biol. Membr. 	Biological Membranes
Biol. Pharm. Bull. 	Biological and Pharmaceutical Bulletin
Biol. Trace Elem. Res. 	Biological Trace Element Research
Biomass Bioenergy 	Biomass and Bioenergy
Biomed. Chromatogr. 	Biomedical Chromatography
Bio-Med. Mater. Eng. 	Bio-Medical Materials and Engineering
Biomed. Microdevices 	Biomedical Microdevices
Biomol. Eng 	Biomolecular Engineering
Bioorg. Chem. 	Bioorganic Chemistry
Bioorg. Khim 	Bioorganicheskaya Khimiya (Russian Journal of Bioorganic Chemistry)
Bioorg. Med. Chem. 	Bioorganic and Medicinal Chemistry
Bioorg. Med. Chem. Lett. 	Bioorganic and Medicinal Chemistry Letters
Biopharm. Drug Dispos. 	Biopharmaceutics and Drug Disposition
Biophys. Chem. 	Biophysical Chemistry
Biophys. J . 	Biophysical Journal
Bioprocess. Eng. 	Bioprocess Engineering
Biorem. J. 	Bioremediation Journal
Bioresour. Technol. 	Bioresource Technology
Biosci. Rep. 	Bioscience Reports
Biosci., Biotechnol., Biochem. 	Bioscience Biotechnology and Biochemistry
Biosens. Bioelectron. 	Biosensors and Bioelectronics
Biotech. Histochem. 	Biotechnic and Histochemistry
Biotechnol. Adv. 	Biotechnology Advances
Biotechnol. Appl. Biochem. 	Biotechnology and Applied Biochemistry
Biotechnol. Bioeng. 	Biotechnology and Bioengineering
Biotechnol. Biotechnol. Equip. 	Biotechnology and Biotechnological Equipment
Biotechnol. Lett 	Biotechnology Letters
Biotechnol. Progr. 	Biotechnology Progress
Biotechnol. Tech. 	Biotechnology Techniques
Bol. Soc. Chil. Quim. 	Boletin de la Sociedad Chilena de Quimica
Br. Ceram. Trans. 	British Ceramic Transactions
Br. Corros. J. 	British Corrosion Journal
Br. J. Pharmacol. 	British Jornal of Pharmacology
Brennst.-Warme-Kraft 	Brennstoff-Warme-Kraft
Bull. Chem. Soc. Jpn. 	Bulletin of the Chemical Society of Japan
Bull. Electrochem. 	Bulletin of Electrochemistry
Bull. Environ. Contam. Toxicol. 	Bulletin of Environment Contamination and Toxicology
Bull. Hist. Chem. 	Bulletin for the History of Chemistry
Bull. Exp. Biol. Med. 	
Bull. Korean Chem. Soc. 	Bulletin of the Korean Chemical Society
Bull. Mater. Sci. 	Bulletin of Materials Science
Bull. Pol. Acad. Sci., Chem. 	Bulletin of the Polish Academy of Sciences Chemistry
Bull. Soc. Chim. Belg. 	Bulletin des Societes Chimiques Belges
Bull. Soc. Chim. Fr. 	Bulletin de la Societe Chimique de France
 	 
C	Back to Top
C.R. Acad. Sci., Ser. III 	Comptes Rendus de l' Academie des Sciences Serie III: Sciences de la Vie
C.R. Acad. Sci., Ser. IIa: Sci. Terre Planets 	Comptes Rendus de l' Academie des Sciences Serie IIa:Sciences de la Terre et des Planets
C.R. Acad. Sci., Ser. IIb: Mec., Phys., Chim., Astron. 	Comptes Rendus de l' Academie des Sciences Serie IIb:Mecanique Physique Chimie Astronomie
C.R. Acad. Sci., Ser. IIc: Chim. 	Comptes Rendus de l' Academie des Sciences Serie IIc:Chemie
Cah. Inf. Tech./Rev Metall 	Cahiers d'Informations Techniques / Revue de Metallurgie
Calphad 	Calphad - Computer Coupling of Phase Diagrams and Thermochemistry
Can. Ceram. Q. 	Canadian Ceramics Quarterly
Can. J. Anal. Sci. Spectros. 	Canadian Journal of Analytical Sciences and Spectroscopy
Can. J. Biochem. 	Canadian Journal of Biochemistry
Can. J. Chem. 	Canadian Journal of Chemistry
Can. J. Chem. Eng. 	Canadian Journal of Chemical Engineering
Can. J. Microbiol. 	Canadian Journal of Microbiology
Can. J. Phys. 	Canadian Journal of Physics
Can. J. Physiol. Pharmacol. 	Canadian Journal of Physiology and Pharmacology
Can. Metall. Q. 	Canadian Metallurgical Quarterly
Can. Min. J. 	Canadian Mining Journal
Can. Mineral. 	Canadian Mineralogist
Carbohydr. Chem. 	Carbohydrate Chemistry
Carbohydr. Lett. 	Carbohydrate Letters
Carbohydr. Polym. 	Carbohydrate Polymers
Carbohydr. Res. 	Carbohydrate Research
Cat. Rev. - Sci. Eng. 	Catalysis Reviews - Science and Engineering
Catal. Commun. 	Catalysis Communications
Catal. Lett. 	Catalysis Letters
Catal. Today 	Catalysis Today
Cell Biochem. Funct. 	Cell Biochemistry and Function
Cell. Physiol. Biochem. 	Cellular Physiology and Biochemistry
Cell. Polym. 	Cellular Polymers
Cellul. Chem. Technol. 	Cellulose Chemistry and Technology
Cem. Concr. Compos. 	Cement and Concrete Composites
Cem. Concr. Res. 	Cement and Concrete Research
Ceram. Int. 	Ceramics International
Ceram. Silik. 	Ceramics - Silikaty
Ceram. Trans. 	Ceramic Transactions
Cereal Chem. 	Cereal Chemistry
Chem. -Anlagen Verfahren 	Chemie Anlagen und Verfahren
Chem. Anal. (Warsaw) 	Chemia Analityczna
Chem. Aust. 	Chemistry in Australia
Chem. Ber. 	Chemische Berichte
Chem. Ber. Recl. 	Chemische Berichte-Recueil
Chem. Biochem. Eng. Q. 	Chemical and Biochemical Engineering Quarterly
Chem. Biol. Interact. 	Chemico-Biological Interactions
Chem. Br. 	Chemistry in Britain
Chem. Commun. 	Chemical Communications
Chem. Eng. (London) 	Chemical Engineer (London)
Chem. Eng. (New York) 	Chemical Engineering (New York)
Chem. Eng. Commun. 	Chemical Engineering Communications
Chem. Eng. J. 	Chemical Engineering Journal
Chem. Eng. News 	Chemical and Engineering News
Chem. Eng. Process. 	Chemical Engineering and Processing
Chem. Eng. Prog. 	Chemical Engineering Progress
Chem. Eng. Res. Des. 	Chemical Engineering Research and Design
Chem. Eng. Sci. 	Chemical Engineering Science
Chem. Eng. Technol. 	Chemical Engineering and Technology
Chem. Eur. J. 	Chemistry- A European Journal
Chem. Express 	Chemistry Express
Chem. Fibers Int. 	Chemical Fibers International
Chem. Eur. J. 	Chemistry A European Journal
Chem. Geol. 	Chemical Geology
Chem. Heterocycl. Compd. 	Chemistry of Heterocyclic Compounds
Chem. Ind. (london) 	Chemistry and Industry
Chem. Ing. Tech. 	Chemie Ingenieur Technik
Chem. Lett. 	Chemistry Letters
Chem. Listy 	Chemicke Listy
Chem. Mater. 	Chemistry of Materials
Chem. Nat. Compd. 	Chemistry of Natural Compounds
Chem. Pap. - Chem. Zvesti 	Chemical Papers - Chemicke Zvesti
Chem. Pharm. Bull. 	Chemical and Pharmaceutical Bulletin
Chem. Phys. 	Chemical Physics
Chem. Phys. Carbon 	Chemistry and Physics of Carbon
Chem. Phys. Lett. 	Chemical Physics Letters
Chem. Phys. Lipids 	Chemistry and Physics of Lipids
Chem. Process. 	Chemical Processing
Chem. Res. Toxicol. 	Chemical Research in Toxicology
Chem. Rev. 	Chemical Reviews
Chem. Senses 	Chemical Senses
Chem. Soc. Rev. 	Chemical Society Reviews
Chem. Speciation Bioavailability 	Chemical Speciation and Bioavailability
Chem. Tech. 	ChemTech
Chem. Tech. (Leipzig) 	Chemische Technik
Chem. Technol. Fuels Oils 	Chemistry and Technology of Fuels and Oils
Chem. Vap. Deposition 	Chemical Vapor Deposition
Chem. Week 	Chemical Week
Chem. unserer Zeit 	Chemie in unserer Zeit
Chemom. Intell. Lab. Syst. 	Chemometrics and Intelligent Laborary Systems
Chin. Chem. Lett. 	Chinese Chemical Letters
Chin. J. Chem . 	Chinese Journal of Chemistry
Chin. J. Chem. Eng. 	Chinese Journal of Chemical Engineering
Chin. J. Nucl. Phys. 	Chinese Journal of Nuclear Physics
Chin. J. Polym. Sci. 	Chinese Journal of Polymer Science
Chin. Sci. Bull. 	Chinese Science Bulletin
Chromatogr. Sci. Ser. 	Chromatographic Science Series
CIM Bull. 	CIM Bulletin
Clays Clay Miner. 	Clays and Clay Minerals
Clin. Biochem. 	Clinical Biochemistry
Clin. Chem. 	Clinical Chemistry
Clin. Chim. Acta 	Clinica Chimica Acta
Collect. Czech. Chem. Commun. 	Collection of Czechoslovak Chemical Communications
Colloid J. 	Colloid Journal
Colloid. Polym. Sci. 	Colloid and Polymer Science
Colloids Surf., A 	Colloids and Surfaces A
Colloids Surf., B 	Colloids and Surfaces B
Comb. Chem. High Throughput Screening 	Combinatorial Chemistry and High Throughput Screening
Combust. Flame 	Combustion and Flame
Combust. Sci. Technol. 	Combustion Science and Technology
Comments Inorg. Chem. 	Comments on Inorganic Chemistry
Comp. Biochem. Physiol. A: Physiol. 	Comparative Biochemistry and Physiology A: Physiology
Comp. Biochem. Physiol. B: Biochem. Mol. Biol. 	Comparative Biochemistry and Physiology B: Biochemistry and Molecular Biology
Comp. Biochem. Physiol. C: Pharmacol. Toxicol. 	Comparative Biochemistry and Physiology C: Pharmacology Toxicology and Endocrinology
Compos. Eng. 	Composites Engineering
Compos. Interfaces 	Composite Interfaces
Compos. Sci. Technol. 	Composites Science and Technology
Compos. Struct. 	Composite Structures
Composites Part A 	Composites Part A Applied Science and Manufacturing
Composites Part B 	Composites Part B Engineering
Comput. Chem. (Oxford) 	Computers and Chemistry
Comput. Chem. Eng. 	Computers and Chemical Engineering
Comput. Mater. Sci. 	Computation Materials Science
Comput. Phys. Commun. 	Computer Physics Communications
Comput. Theor. Polym. Sci. 	Computational and Theoretical Polymer Science
Concepts Magn. Reson. 	Concepts in Magenetic Resonance
Concr. Eng. Int. 	Concrete Engineering International
Concr. Int. 	Concrete International
Concr. Sci. Eng. 	Concrete Science and Engineering
Condens. Matter Phys. 	Condensed Matter Physics
Condens. Matter Theor. 	Condensed Matter Theories
Continuum Mech. Thermodyn. 	Continuum Mechanics and Thermodynamics
Contrib. Mineral. Petrol. 	Contributions to Mineralogy and Petrology
Coord. Chem. Rev. 	Coordination Chemistry Reviews
Corros. Rev. 	Corrosion Reviews
Corros. Sci. 	Corrosion Science
CPP Chem. Plants and Process. 	CPP Chemical Plants and Processing
Crit. Rev. Anal. Chem. 	Critical Reviews in Analytical Chemistry
Crit. Rev. Biochem. Mol. Biol. 	Critical Reviews in Biochemistry and Molecular Biology
Crit. Rev. Biotechnol. 	Critical Reviews in Biotechnology
Crit. Rev. Env. Sci. Technol. 	Critical Reviews in Environment Science and Technology
Crit. Rev. Solid State Mater. Sci. 	Critical Reviews in Solid State and Materials Sciences
Crit. Rev. Toxicol. 	Critical Reviews in Toxicology
Croat. Chem. Acta 	Croatica Chemica Acta
Cryst. Eng. 	Crystal Engineering
Cryst. Growth Des. 	Crystal Growth and Design
Cryst. Res. Technol. 	Crystal Research and Technology
Curr. Opin. Biotechnol. 	Current Opinion in Biotechnology
Curr. Opin. Chem. Biol. 	Current Opinion in Chemical Biology
Curr. Opin. Colloid Interface Sci. 	Current Opinion in Colloid and Interface Science
Curr. Opin. Pharmacol. 	Current Opinion in Pharmacology
Curr. Opin. Solid State Mater. Sci. 	Current Opinion in Solid State and Materials Science
Curr. Org. Chem. 	Current Organic Chemistry
Curr. Plant Sci. Biotechnol. Agric. 	Current Plant Science in Biotechnology and Agriculture
Curr. Top. Membr. 	Current Topics in Membranes
Curr. Top. Med. Chem. 	Current Topics in Medicinal Chemistry
 	 
D	Back to Top
Dent. Mater. 	Dental Materials
Diamond Films Technol. 	Diamond Films and Technology
Diamond Relat. Mater. 	Diamond and Related Materials
Dokl. Akad. Nauk 	Doklady Akademii Nauk
Drug Chem. Toxicol. 	Drug and Chemical Toxicology
Drug Dev. Ind. Pharm. 	Drug Development and Industrial Pharmacy
Drug Dev. Res. 	Drug Development Research
Drug Discovery Today 	Drug Discovery Today
Drying Technol. 	Drying Technology
 	 
E	Back to Top
Earth. Planet. Sci. Lett. 	Earth and Planetary Science Letters
Ecol. Eng. 	Ecological Engineering
Econ. Geol. 	Economic Geology and the Bulletin of the Society of Economic Geologists
Ecotoxicol. Environ. Saf. 	Ecotoxicology and Environment Safety
Educ. Chem. 	Education in Chemistry
Electro- Magnetobiol. 	Electro- and Magnetobiology
Electrochem. Commun. 	Electrochemistry Communications
Electrochem. Soc. Interface 	Electrochemical Society Interface
Electrochem. Solid-State Lett. 	Electrochemical and Solid-State Letters
Electrochim. Acta 	Electrochimica Acta
Electron. Lett 	Electronics Letters
Electron Technol. 	Electronic Technology
EMBO J. 	EMBO Journal
Energy Convers. Manage. 	Energy Conversion and Management
Energy Fuels 	Energy and Fuels
Eng. Min. J. 	Engineering and Mining Journal
Environ. Carcinog. Ecotoxicol. Rev. 	Environment Carcinogenesis and Ecotoxicology Reviews
Environ. Geochem. Health 	Environmental Geochemistry and Health
Environ. Geol. 	Environmental Geology
Environ. Health Perspect. 	Environmental Health Perspectives
Environ. Microbiol. 	Environmental Microbiology
Environ. Monit. Assess. 	Environmental Monitoring and Assessment
Environ. Pollut. 	Environmental Pollution
Environ. Prog. 	Environmental Progress
Environ. Res. 	Environmental Research
Environ. Sci. Technol. 	Environmental Science and Technology
Environ. Technol. 	Environmental Technology
Environ. Toxicol. Chem. 	Environmental Toxicology and Chemistry
Environ. Toxicol. Pharmacol. 	Environmental Toxicology and Pharmacology
Environ. Toxicol. Water Qual. 	Environmental Toxicology and Water Quality
Enzyme Microb. Technol. 	Enzyme and Microbial Technology
Enzyme Protein 	Enzyme and Protein
Erdol and Kohle Erdgas, Petrochem. 	Erdol and Kohle Erdgas, Petrochemie
Eur. J. Biochem. 	European Journal of Biochemistry
Eur. J. Clin. Chem. Clin. Biochem. 	European Journal of Clinical Chemistry and Clinical Biochemistry
Eur. J. Inorg. Chem. 	European Journal of Inorganic Chemistry
Eur. J. Lipid Sci. Technol. 	European Journal of Lipid Science and Technology
Eur. J. Mass Spectrom. 	European Journal of Mass Spectrometry
Eur. J. Med. Chem. 	European Journal of Medical Chemistry
Eur. J. Mineral. 	European Journal of Mineralogy
Eur. J. Org. Chem. 	European Journal of Organic Chemistry
Eur. J. Pharmacol. 	European Journal of Pharmacology
Eur. J. Solid State Inorg. Chem. 	European Journal of Solid State and Inorganic Chemistry
Eur. Mass Spectrom. 	European Mass Spectrometry
Eur. Polym. J. 	European Polymer Journal
Europhys. Lett. 	Europhysics Letters
Exp. Fluids 	Experiments in Fluids
Exp. Therm Fluid Sci. 	Experimental Thermal and Fluid Science
Explor. Min. Geol. 	Exploration and Mining Geology
 	 
F	Back to Top
Faraday Discuss. 	Faraday Discussions
FASEB J. 	FASEB Journal
Fatigue Fract. Eng. Mater. Struct. 	Fatigue and Fracture of Engineering Materials and Structures
FEBS Lett. 	FEBS Letters
FEMS Immunol. Med. Microbiol. 	FEMS Immunology And Medical Microbiology
FEMS Microbiol. Ecol. 	FEMS Microbiology Ecology
FEMS Microbiol. Lett. 	FEMS Microbiology Letters
FEMS Microbiol. Rev. 	FEMS Microbiology Review
Ferroelectr. Rev. 	Ferroelectrics Review
Ferroelectr. Lett. 	Ferroelectrics Letters
Fett - Lipid 	Fett - Lipid
Fiber Integr. Opt. 	Fiber and Integrated Optics
Field Anal. Chem. Technol. 	Field Analytical Chemistry and Technology.
Filtr. Sep. 	Filtration and Separation
Fiz. Met. Metalloved. 	Fizika Metallov i Metallovedenie
Fluid/Part. Sep. J. 	Fluid/Particle Separation Journal
Fluid Phase Equilib. 	Fluid Phase Equilibria
Fold Des. 	Folding and Design
Food Addit. Contam. 	Food Additives and Contaminants
Food Biotechnol. 	Food Biotechnology
Food Chem. 	Food Chemistry
Food Chem. Toxicol. 	Food and Chemical Toxicology
